房屋总价,房屋单价,小区名称,所在区域,房屋户型,户型结构,所在楼层,套内面积,房屋朝向,装修情况,配备电梯,建筑面积,建筑类型,楼层高度,建筑结构,梯户比例,挂牌时间,上次交易,房屋年限,抵押信息,房源核验码,交易权属,房屋用途,产权所属,房本备件
90万,11722,兴元华盛一期,成华驷马桥,2室1厅1卫,平层,高楼层 (共18层)咨询楼层,暂无咨询套内面积,东北,精装,有,76.78㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,两梯四户,2025年04月14日,2017年04月05日,满五年,无抵押,20251429136,商品房,普通住宅,非共有,已上传房本照片
100万,12311,洲际亚洲湾B区,温江光华大道沿线,2室2厅1卫,平层,中楼层 (共32层)咨询楼层,暂无咨询套内面积,东南,精装,有,81.23㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯六户,2025年04月14日,2019年12月27日,满五年,无抵押,20251547003,商品房,普通住宅,非共有,已上传房本照片
81.8万,10148,美好小区,新都大丰,2室2厅1卫,平层,中楼层 (共18层)咨询楼层,暂无咨询套内面积,东,其他,有,80.61㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,一梯五户,2025年04月14日,2024年10月12日,未满两年,无抵押,20251544446,商品房,普通住宅,非共有,已上传房本照片
186万,16936,水岸华庭,成华万象城,3室1厅2卫,平层,低楼层 (共28层)咨询楼层,93.76㎡,东,简装,有,109.83㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯八户,2025年04月14日,2011年05月17日,满五年,无抵押,20251545299,商品房,普通住宅,非共有,已上传房本照片
200万,15066,瑞泰锦城,武侯五大花园,3室1厅2卫,平层,低楼层 (共17层)咨询楼层,暂无咨询套内面积,南,精装,有,132.75㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,两梯四户,2025年04月14日,2008年01月01日,满五年,无抵押,20251543248,商品房,普通住宅,非共有,已上传房本照片
85万,10424,外双楠教师公寓,武侯外双楠,2室1厅1卫,平层,中楼层 (共7层)咨询楼层,暂无咨询套内面积,东南,其他,,81.55㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,混合结构,暂无数据,2025年04月14日,2024年11月08日,未满两年,有抵押 金融公司垫资,20251551743,商品房,普通住宅,非共有,已上传房本照片
158万,11490,上置雅宾利,郫都区红光,5室1厅2卫,平层,中楼层 (共11层)咨询楼层,暂无咨询套内面积,东南,精装,有,137.52㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯两户,2025年04月14日,2024年11月12日,未满两年,有抵押 90万元 银行 业主自还,20251543756,商品房,普通住宅,非共有,已上传房本照片
64.8万,5301,青电花园,崇州崇州城区,4室2厅2卫,平层,中楼层 (共5层)咨询楼层,暂无咨询套内面积,东,其他,,122.26㎡,暂无数据,暂无数据实际层高需现场测量，具体数据以实际测量为准,混合结构,暂无数据,2025年04月14日,2022年02月24日,满两年,无抵押,20251544248,商品房,普通住宅,非共有,已上传房本照片
101万,19118,曹家巷恒大雅苑,金牛马鞍路,1室1厅1卫,平层,高楼层 (共30层)咨询楼层,暂无咨询套内面积,东南,精装,有,52.83㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,三梯八户,2025年04月14日,2019年03月08日,满五年,无抵押,20251543930,商品房,普通住宅,非共有,已上传房本照片
169万,12696,纬度18,双流东升镇,4室2厅2卫,错层,中楼层 (共6层)咨询楼层,暂无咨询套内面积,东南,其他,,133.12㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,暂无数据,2025年04月14日,2021年09月21日,满两年,无抵押,20251543723,商品房,普通住宅,共有,已上传房本照片
108万,8884,玺印上院,龙泉驿龙泉驿城区,3室2厅2卫,平层,中楼层 (共6层)咨询楼层,暂无咨询套内面积,南,其他,,121.57㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,砖混结构,暂无数据,2025年04月14日,2009年06月25日,满五年,无抵押,20251543135,商品房,普通住宅,非共有,已上传房本照片
139.8万,7740,金海岸·天府花园水城,金堂金堂,4室2厅2卫,平层,低楼层 (共6层)咨询楼层,暂无咨询套内面积,南,精装,,180.63㎡,暂无数据,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,暂无数据,2025年04月14日,2017年11月30日,满五年,有抵押 客户偿还,20251543194,商品房,普通住宅,非共有,已上传房本照片
230万,19885,三和爱汀府,双流蛟龙港,4室2厅2卫,平层,中楼层 (共6层)咨询楼层,暂无咨询套内面积,南,精装,,115.67㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,暂无数据,2025年04月14日,2017年05月13日,满五年,无抵押,20251455173,商品房,普通住宅,共有,已上传房本照片
48万,5897,恒大西辰绿洲,崇州羊马,2室2厅1卫,平层,高楼层 (共33层)咨询楼层,暂无咨询套内面积,南,其他,有,81.4㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,三梯四户,2025年04月14日,2025年03月11日,未满两年,暂无数据,20251550190,商品房,普通住宅,非共有,已上传房本照片
118万,12300,石人西路8号,青羊府南新区,3室1厅1卫,平层,中楼层 (共7层)咨询楼层,暂无咨询套内面积,西,精装,,95.94㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,混合结构,暂无数据,2025年04月14日,2016年09月13日,满五年,无抵押,20251543075,商品房,普通住宅,非共有,已上传房本照片
126万,16475,南湖国际社区一期,天府新区南湖,2室2厅1卫,平层,高楼层 (共34层)咨询楼层,暂无咨询套内面积,西,精装,有,76.48㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,三梯六户,2025年04月14日,2022年02月22日,满两年,无抵押,20251543063,商品房,普通住宅,非共有,已上传房本照片
125万,18778,正黄上岭,武侯川音,2室1厅1卫,平层,高楼层 (共22层)咨询楼层,暂无咨询套内面积,东南,简装,有,66.57㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,两梯八户,2025年04月14日,2021年12月30日,满两年,无抵押,20251543371,商品房,普通住宅,非共有,已上传房本照片
135万,14548,百悦城四期,龙泉驿大面,3室2厅1卫,平层,高楼层 (共41层)咨询楼层,73.8㎡,东南,精装,有,92.8㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,三梯七户,2025年04月14日,2019年08月01日,满五年,有抵押 2万，5月份就准备还了。 客户偿还,20251552737,商品房,普通住宅,非共有,已上传房本照片
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
240万,20791,远大中央公园四期,天府新区南湖,3室2厅2卫,平层,高楼层 (共32层)咨询楼层,暂无咨询套内面积,南,精装,有,115.44㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,三梯六户,2025年04月14日,2023年03月23日,满两年,有抵押 90万元 业主自还,20251550268,商品房,普通住宅,非共有,已上传房本照片
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
230万,17034,锦官新城西区,武侯航空路,3室1厅2卫,平层,中楼层 (共18层)咨询楼层,暂无咨询套内面积,北,其他,有,135.03㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,两梯六户,2025年04月14日,2018年01月09日,满五年,有抵押 89万元 中信银行 业主自还,20251544838,商品房,普通住宅,共有,已上传房本照片
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
